,name_json,source,layer,lat,lon,validtime_start,validtime_end,addendum_json_details,street
0,,atlas_jacoubet_1836,street,48.87018067733063,2.3368719983742254,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Grammont
1,,atlas_jacoubet_1836,street,48.868236074246404,2.3492471085694837,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Passage Sainte-Foy
2,,atlas_jacoubet_1836,street,48.850519149442874,2.3481939123777584,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Des Lavandières
3,,atlas_jacoubet_1836,street,48.86230804987758,2.3448941674178156,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Passage Des Prouvaires
4,,atlas_jacoubet_1836,street,48.84283137114749,2.352113778958423,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Triperet
5,,atlas_jacoubet_1836,street,48.850445753257176,2.3392595789186483,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Voltaire
6,,atlas_jacoubet_1836,street,48.85132047807537,2.340602976980356,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue De L'École De Médecine
7,,atlas_jacoubet_1836,street,48.86991309388927,2.3485381211983687,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Saint-Étienne
8,,atlas_jacoubet_1836,street,48.87122507081941,2.3079644953345233,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue De Ponthieu
9,,atlas_jacoubet_1836,street,48.86432126071578,2.350650249894794,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Du Petit Hurleur
10,,atlas_jacoubet_1836,street,48.84766520458651,2.3310201893201588,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Jean-Bart
11,,atlas_jacoubet_1836,street,48.855257108189306,2.337248226797053,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Passage Du Pont Neuf
12,,atlas_jacoubet_1836,street,48.861043217134,2.3359366319449295,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Du Caroussel
13,,atlas_jacoubet_1836,street,48.86070460356933,2.3538575772313823,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Rue Geoffroy Langevin
14,,atlas_jacoubet_1836,street,48.85403616316232,2.344576195840266,1827,1836,"{""title"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte, 1827-1836."", ""reference"": ""https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0000858369"", ""description"": ""Atlas général de la Ville, des faubourgs et des monuments de Paris : 1836 / par Th. Jacoubet, architecte... ; gravé par Bonnet ; dédié et présenté à M. le Comte de Chabrol de Volvic, Conseiller d'Etat, Préfet du Département de la Seine ; écrit par Hacq. graveur du Dépot de la Guerre.""}",Pont Saint-Michel
